num_players,bot_profile,category,key,value
4,heuristic,recipe_win_rate,rougay_pwason,4.0
4,heuristic,recipe_avg_turns,rougay_pwason,73.5
4,heuristic,recipe_win_rate,creole_fish_curry,2.0
4,heuristic,recipe_avg_turns,creole_fish_curry,107.0
4,heuristic,recipe_win_rate,cari_cabri,2.0
4,heuristic,recipe_avg_turns,cari_cabri,75.0
4,heuristic,recipe_win_rate,jerk_chicken,2.0
4,heuristic,recipe_avg_turns,jerk_chicken,69.0
4,heuristic,tier_win_rate,quick,92.0
4,heuristic,tier_win_rate,feast,8.0
4,heuristic,slot_win_rate,slot0,72.0
4,heuristic,slot_win_rate,slot1,28.0
4,heuristic,starvation_by_card,lime,25
4,heuristic,starvation_by_card,frying,10
4,heuristic,starvation_by_card,goat,24
4,heuristic,starvation_by_card,beef,24
4,heuristic,starvation_by_card,grinding,22
4,heuristic,starvation_by_card,marinating,44
4,heuristic,starvation_by_card,fresh_herbs,14
4,heuristic,starvation_by_card,tomato,33
4,heuristic,starvation_by_card,fish,24
4,heuristic,starvation_by_card,chopping,17
4,heuristic,starvation_by_card,simmering,5
4,heuristic,starvation_by_card,eggs,10
4,heuristic,starvation_by_card,coconut_milk,6
4,heuristic,starvation_by_card,salt_pepper,4
4,heuristic,starvation_by_card,mixing,12
4,heuristic,starvation_by_card,garlic,3
4,heuristic,starvation_by_card,chili,4
4,random,summary,games,50
4,random,summary,capped_rate_pct,0.0
4,random,summary,decisive_games,50
4,random,summary,capped_games,0
4,random,summary,turns_mean,194.26
4,random,summary,turns_median,188.5
4,random,summary,turns_p10,138.7
4,random,summary,turns_p90,256.9
4,random,summary,minutes_mean,38.852
4,random,summary,minutes_median,37.7
4,random,summary,minutes_p10,27.74
4,random,summary,minutes_p90,51.38
4,random,summary,steals_mean,16.0
4,random,summary,reshuffles_mean,1.04
4,random,summary,starvation_mean,14.12
4,random,seat_win_rate,2,28.0
4,random,seat_win_rate,3,22.0
4,random,seat_win_rate,0,30.0
4,random,seat_win_rate,1,20.0
4,random,recipe_win_rate,cari_cabri,4.0
4,random,recipe_avg_turns,cari_cabri,172.5
4,random,recipe_win_rate,braai_steak,20.0
4,random,recipe_avg_turns,braai_steak,171.3
4,random,recipe_win_rate,creole_fish_curry,4.0
4,random,recipe_avg_turns,creole_fish_curry,221.5
4,random,recipe_win_rate,akoho_sy_voanio,8.0
4,random,recipe_avg_turns,akoho_sy_voanio,194.25
4,random,recipe_win_rate,nyama_choma,16.0
4,random,recipe_avg_turns,nyama_choma,200.5
4,random,recipe_win_rate,ayam_panggang,26.0
4,random,recipe_avg_turns,ayam_panggang,182.846153846154
4,random,recipe_win_rate,rougay_pwason,6.0
4,random,recipe_avg_turns,rougay_pwason,217.666666666667
4,random,recipe_win_rate,doro_wat,2.0
4,random,recipe_avg_turns,doro_wat,237.0
4,random,recipe_win_rate,jerk_chicken,4.0
4,random,recipe_avg_turns,jerk_chicken,180.0
4,random,recipe_win_rate,ikan_bakar,10.0
4,random,recipe_avg_turns,ikan_bakar,240.8
4,random,tier_win_rate,feast,14.0
4,random,tier_win_rate,quick,86.0
4,random,slot_win_rate,slot1,58.0
4,random,slot_win_rate,slot0,42.0
4,random,starvation_by_card,goat,32
4,random,starvation_by_card,fish,39
4,random,starvation_by_card,frying,82
4,random,starvation_by_card,fresh_herbs,15
4,random,starvation_by_card,chopping,92
4,random,starvation_by_card,eggs,61
4,random,starvation_by_card,lime,57
4,random,starvation_by_card,simmering,54
4,random,starvation_by_card,coconut_milk,17
4,random,starvation_by_card,chicken,1
4,random,starvation_by_card,mixing,53
4,random,starvation_by_card,salt_pepper,5
4,random,starvation_by_card,marinating,54
4,random,starvation_by_card,beef,39
4,random,starvation_by_card,chili,4
4,random,starvation_by_card,tomato,43
4,random,starvation_by_card,grinding,58
